UE 335e: dlsch_rounds 93478/5836/34/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.12311 MCS (0) 19
UE 335e: dlsch_rounds 94340/5836/34/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.03477 MCS (0) 13
UE 335e: dlsch_rounds 94888/5973/34/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.17446 MCS (0) 21
UE 335e: dlsch_rounds 94962/5973/34/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.05004 MCS (0) 14
UE 335e: dlsch_rounds 95911/6104/34/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.11442 MCS (0) 17
UE 335e: dlsch_rounds 95944/6104/34/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.02908 MCS (0) 6
UE 335e: dlsch_rounds 97082/6244/34/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.16083 MCS (0) 20
UE 335e: dlsch_rounds 98101/6275/35/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.30849 MCS (0) 10
UE 335e: dlsch_rounds 98152/6282/35/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.16067 MCS (0) 3
UE 335e: dlsch_rounds 98236/6282/35/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.04084 MCS (0) 3
UE 335e: dlsch_rounds 98268/6289/35/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.20907 MCS (0) 4
UE 335e: dlsch_rounds 98323/6289/35/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.05314 MCS (0) 3
UE 335e: dlsch_rounds 98383/6298/35/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.16970 MCS (0) 3
UE 335e: dlsch_rounds 98400/6298/35/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.07305 MCS (0) 3
UE 335e: dlsch_rounds 98449/6311/35/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.28780 MCS (0) 4
UE 335e: dlsch_rounds 98488/6311/35/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.07315 MCS (0) 3
UE 335e: dlsch_rounds 99234/6326/36/6, dlsch_errors 5, pucch0_DTX 13, BLER 0.02722 MCS (0) 15
UE 335e: dlsch_rounds 100952/6359/38/6, dlsch_errors 5, pucch0_DTX 15, BLER 0.02055 MCS (0) 15
UE 335e: dlsch_rounds 102644/6390/39/6, dlsch_errors 5, pucch0_DTX 17, BLER 0.02125 MCS (0) 15
UE 335e: dlsch_rounds 104055/6535/44/6, dlsch_errors 5, pucch0_DTX 19, BLER 0.12236 MCS (0) 19
UE 335e: dlsch_rounds 105670/6635/44/6, dlsch_errors 5, pucch0_DTX 19, BLER 0.12297 MCS (0) 23
UE 335e: dlsch_rounds 107387/6670/44/6, dlsch_errors 5, pucch0_DTX 19, BLER 0.06240 MCS (0) 19
UE 335e: dlsch_rounds 108968/6818/44/6, dlsch_errors 5, pucch0_DTX 20, BLER 0.13496 MCS (0) 19
UE 335e: dlsch_rounds 110716/6825/44/6, dlsch_errors 5, pucch0_DTX 20, BLER 0.03884 MCS (0) 22
UE 335e: dlsch_rounds 111911/6952/44/6, dlsch_errors 5, pucch0_DTX 22, BLER 0.07439 MCS (0) 17
UE 335e: dlsch_rounds 112324/7086/44/6, dlsch_errors 5, pucch0_DTX 22, BLER 0.16898 MCS (0) 17
UE 335e: dlsch_rounds 112356/7086/44/6, dlsch_errors 5, pucch0_DTX 22, BLER 0.04773 MCS (0) 5
UE 335e: dlsch_rounds 112808/7158/44/6, dlsch_errors 5, pucch0_DTX 22, BLER 0.10991 MCS (0) 23
UE 335e: dlsch_rounds 114480/7216/44/6, dlsch_errors 5, pucch0_DTX 23, BLER 0.06305 MCS (0) 20
UE 335e: dlsch_rounds 115310/7348/44/6, dlsch_errors 5, pucch0_DTX 23, BLER 0.12145 MCS (0) 16
UE 335e: dlsch_rounds 115765/7370/44/6, dlsch_errors 5, pucch0_DTX 23, BLER 0.03087 MCS (0) 22
UE 335e: dlsch_rounds 115843/7396/44/6, dlsch_errors 5, pucch0_DTX 23, BLER 0.30893 MCS (0) 3
UE 335e: dlsch_rounds 115897/7396/44/6, dlsch_errors 5, pucch0_DTX 23, BLER 0.07853 MCS (0) 3
UE 335e: dlsch_rounds 115925/7396/44/6, dlsch_errors 5, pucch0_DTX 23, BLER 0.02218 MCS (0) 3
UE 335e: dlsch_rounds 115957/7402/44/6, dlsch_errors 5, pucch0_DTX 23, BLER 0.16629 MCS (0) 3
UE 335e: dlsch_rounds 115984/7402/44/6, dlsch_errors 5, pucch0_DTX 23, BLER 0.04227 MCS (0) 3
UE 335e: dlsch_rounds 116017/7411/44/6, dlsch_errors 5, pucch0_DTX 23, BLER 0.17642 MCS (0) 3
UE 335e: dlsch_rounds 116045/7411/44/6, dlsch_errors 5, pucch0_DTX 23, BLER 0.04983 MCS (0) 3
UE 335e: dlsch_rounds 116072/7420/44/6, dlsch_errors 5, pucch0_DTX 23, BLER 0.19746 MCS (0) 3
UE 335e: dlsch_rounds 116088/7420/44/6, dlsch_errors 5, pucch0_DTX 23, BLER 0.06885 MCS (0) 3
UE 335e: dlsch_rounds 117115/7440/45/6, dlsch_errors 5, pucch0_DTX 24, BLER 0.03077 MCS (0) 15
UE 335e: dlsch_rounds 118836/7492/47/6, dlsch_errors 5, pucch0_DTX 24, BLER 0.03077 MCS (0) 15
UE 335e: dlsch_rounds 120382/7659/50/6, dlsch_errors 5, pucch0_DTX 24, BLER 0.21299 MCS (0) 22
UE 335e: dlsch_rounds 122119/7670/50/6, dlsch_errors 5, pucch0_DTX 24, BLER 0.06308 MCS (0) 19
UE 335e: dlsch_rounds 123704/7816/51/6, dlsch_errors 5, pucch0_DTX 24, BLER 0.13428 MCS (0) 19
UE 335e: dlsch_rounds 125399/7859/51/6, dlsch_errors 5, pucch0_DTX 24, BLER 0.03952 MCS (0) 23
UE 335e: dlsch_rounds 126348/7991/53/6, dlsch_errors 5, pucch0_DTX 24, BLER 0.24108 MCS (0) 10
UE 335e: dlsch_rounds 126379/7998/53/6, dlsch_errors 5, pucch0_DTX 24, BLER 0.19451 MCS (0) 3
UE 335e: dlsch_rounds 126445/7998/53/6, dlsch_errors 5, pucch0_DTX 24, BLER 0.05494 MCS (0) 3
UE 335e: dlsch_rounds 126525/8002/53/6, dlsch_errors 5, pucch0_DTX 24, BLER 0.09816 MCS (0) 6
UE 335e: dlsch_rounds 126794/8096/53/6, dlsch_errors 5, pucch0_DTX 24, BLER 0.11302 MCS (0) 23
UE 335e: dlsch_rounds 128494/8140/53/6, dlsch_errors 5, pucch0_DTX 24, BLER 0.06276 MCS (0) 19
UE 335e: dlsch_rounds 130032/8325/53/6, dlsch_errors 5, pucch0_DTX 24, BLER 0.12660 MCS (0) 21
UE 335e: dlsch_rounds 131722/8380/53/6, dlsch_errors 5, pucch0_DTX 24, BLER 0.04944 MCS (0) 22
UE 335e: dlsch_rounds 133272/8575/53/6, dlsch_errors 5, pucch0_DTX 26, BLER 0.10432 MCS (0) 22
UE 335e: dlsch_rounds 134716/8786/53/6, dlsch_errors 5, pucch0_DTX 26, BLER 0.14102 MCS (0) 22
UE 335e: dlsch_rounds 134823/8806/53/6, dlsch_errors 5, pucch0_DTX 26, BLER 0.11340 MCS (0) 11
UE 335e: dlsch_rounds 134997/8935/53/6, dlsch_errors 5, pucch0_DTX 26, BLER 0.21578 MCS (0) 23
UE 335e: dlsch_rounds 135403/9012/53/6, dlsch_errors 5, pucch0_DTX 26, BLER 0.09877 MCS (0) 12
UE 335e: dlsch_rounds 135547/9012/53/6, dlsch_errors 5, pucch0_DTX 26, BLER 0.02511 MCS (0) 17
UE 335e: dlsch_rounds 137041/9226/53/6, dlsch_errors 5, pucch0_DTX 26, BLER 0.12276 MCS (0) 15
UE 335e: dlsch_rounds 138672/9320/53/6, dlsch_errors 5, pucch0_DTX 26, BLER 0.09639 MCS (0) 22
UE 335e: dlsch_rounds 139057/9424/58/6, dlsch_errors 5, pucch0_DTX 28, BLER 0.43338 MCS (0) 5
UE 335e: dlsch_rounds 139106/9424/58/6, dlsch_errors 5, pucch0_DTX 28, BLER 0.12240 MCS (0) 3
UE 335e: dlsch_rounds 139141/9424/58/6, dlsch_errors 5, pucch0_DTX 28, BLER 0.03111 MCS (0) 3
UE 335e: dlsch_rounds 139202/9442/58/6, dlsch_errors 5, pucch0_DTX 28, BLER 0.18469 MCS (0) 8
UE 335e: dlsch_rounds 139236/9444/58/6, dlsch_errors 5, pucch0_DTX 28, BLER 0.10657 MCS (0) 3
UE 335e: dlsch_rounds 139299/9444/58/6, dlsch_errors 5, pucch0_DTX 28, BLER 0.02709 MCS (0) 13
UE 335e: dlsch_rounds 140869/9597/58/6, dlsch_errors 5, pucch0_DTX 28, BLER 0.11670 MCS (0) 19
UE 335e: dlsch_rounds 142473/9717/58/6, dlsch_errors 5, pucch0_DTX 28, BLER 0.12547 MCS (0) 23
UE 335e: dlsch_rounds 144205/9742/58/6, dlsch_errors 5, pucch0_DTX 28, BLER 0.06343 MCS (0) 19
UE 335e: dlsch_rounds 145691/9897/58/6, dlsch_errors 5, pucch0_DTX 28, BLER 0.13810 MCS (0) 18
UE 335e: dlsch_rounds 145722/9897/58/6, dlsch_errors 5, pucch0_DTX 28, BLER 0.03900 MCS (0) 7
UE 335e: dlsch_rounds 145973/9919/59/7, dlsch_errors 5, pucch0_DTX 28, BLER 0.01102 MCS (0) 21
UE 335e: dlsch_rounds 146039/9947/60/7, dlsch_errors 5, pucch0_DTX 29, BLER 0.61598 MCS (0) 6
UE 335e: dlsch_rounds 146071/9947/60/7, dlsch_errors 5, pucch0_DTX 29, BLER 0.15657 MCS (0) 3
UE 335e: dlsch_rounds 146110/9947/60/7, dlsch_errors 5, pucch0_DTX 29, BLER 0.04913 MCS (0) 3
UE 335e: dlsch_rounds 146139/9956/60/7, dlsch_errors 5, pucch0_DTX 29, BLER 0.32339 MCS (0) 5
UE 335e: dlsch_rounds 146161/9956/60/7, dlsch_errors 5, pucch0_DTX 29, BLER 0.10148 MCS (0) 3
UE 335e: dlsch_rounds 146192/9956/60/7, dlsch_errors 5, pucch0_DTX 29, BLER 0.02580 MCS (0) 3
UE 335e: dlsch_rounds 147201/9984/61/7, dlsch_errors 5, pucch0_DTX 31, BLER 0.02328 MCS (0) 15
UE 335e: dlsch_rounds 148912/10026/64/7, dlsch_errors 5, pucch0_DTX 40, BLER 0.02338 MCS (0) 15
UE 335e: dlsch_rounds 150562/10063/69/7, dlsch_errors 5, pucch0_DTX 41, BLER 0.02358 MCS (0) 15
UE 335e: dlsch_rounds 152229/10099/73/7, dlsch_errors 5, pucch0_DTX 42, BLER 0.02297 MCS (0) 15
UE 335e: dlsch_rounds 152402/10129/74/7, dlsch_errors 5, pucch0_DTX 42, BLER 0.34899 MCS (0) 4
UE 335e: dlsch_rounds 152426/10129/74/7, dlsch_errors 5, pucch0_DTX 42, BLER 0.10952 MCS (0) 3
UE 335e: dlsch_rounds 152884/10273/74/7, dlsch_errors 5, pucch0_DTX 42, BLER 0.21312 MCS (0) 23
UE 335e: dlsch_rounds 154573/10328/74/7, dlsch_errors 5, pucch0_DTX 43, BLER 0.08338 MCS (0) 16
UE 335e: dlsch_rounds 156106/10513/75/7, dlsch_errors 5, pucch0_DTX 68, BLER 0.19458 MCS (0) 19
UE 335e: dlsch_rounds 157810/10560/75/7, dlsch_errors 5, pucch0_DTX 68, BLER 0.04946 MCS (0) 24
UE 335e: dlsch_rounds 159352/10734/75/7, dlsch_errors 5, pucch0_DTX 68, BLER 0.12022 MCS (0) 15
UE 335e: dlsch_rounds 160946/10874/75/7, dlsch_errors 5, pucch0_DTX 68, BLER 0.13921 MCS (0) 22
UE 335e: dlsch_rounds 162133/10905/75/7, dlsch_errors 5, pucch0_DTX 68, BLER 0.04914 MCS (0) 21
UE 335e: dlsch_rounds 162785/11099/83/11, dlsch_errors 6, pucch0_DTX 71, BLER 0.39514 MCS (0) 9
UE 335e: dlsch_rounds 162818/11101/83/11, dlsch_errors 6, pucch0_DTX 71, BLER 0.19761 MCS (0) 3
UE 335e: dlsch_rounds 162891/11101/83/11, dlsch_errors 6, pucch0_DTX 71, BLER 0.06201 MCS (0) 3
UE 335e: dlsch_rounds 162938/11110/83/11, dlsch_errors 6, pucch0_DTX 71, BLER 0.20113 MCS (0) 3
UE 335e: dlsch_rounds 162977/11110/83/11, dlsch_errors 6, pucch0_DTX 71, BLER 0.05681 MCS (0) 3
UE 335e: dlsch_rounds 163811/11344/86/11, dlsch_errors 6, pucch0_DTX 77, BLER 0.25246 MCS (0) 19
