UE d5aa: dlsch_rounds 122187/7966/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.08238 MCS (0) 20
UE d5aa: dlsch_rounds 123716/8157/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.15636 MCS (0) 20
UE d5aa: dlsch_rounds 125432/8177/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.04828 MCS (0) 21
UE d5aa: dlsch_rounds 126966/8368/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.09638 MCS (0) 20
UE d5aa: dlsch_rounds 128645/8434/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.05992 MCS (0) 21
UE d5aa: dlsch_rounds 129629/8490/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.03737 MCS (0) 23
UE d5aa: dlsch_rounds 129684/8497/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.08887 MCS (0) 22
UE d5aa: dlsch_rounds 129751/8509/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.03305 MCS (0) 23
UE d5aa: dlsch_rounds 129905/8593/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.10158 MCS (0) 6
UE d5aa: dlsch_rounds 129959/8593/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.02869 MCS (0) 11
UE d5aa: dlsch_rounds 129998/8593/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.00729 MCS (0) 15
UE d5aa: dlsch_rounds 130056/8593/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.00185 MCS (0) 12
UE d5aa: dlsch_rounds 130092/8593/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.00047 MCS (0) 9
UE d5aa: dlsch_rounds 130548/8593/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.00013 MCS (0) 15
UE d5aa: dlsch_rounds 131781/8593/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.00003 MCS (0) 15
UE d5aa: dlsch_rounds 133533/8593/5/4, dlsch_errors 3, pucch0_DTX 8, BLER 0.00001 MCS (0) 15
UE d5aa: dlsch_rounds 134783/8595/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00097 MCS (0) 15
UE d5aa: dlsch_rounds 134844/8595/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00025 MCS (0) 13
UE d5aa: dlsch_rounds 135671/8595/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00007 MCS (0) 15
UE d5aa: dlsch_rounds 136987/8595/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00002 MCS (0) 15
UE d5aa: dlsch_rounds 138524/8764/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.08615 MCS (0) 19
UE d5aa: dlsch_rounds 140092/8931/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.14302 MCS (0) 22
UE d5aa: dlsch_rounds 141736/9043/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.08564 MCS (0) 21
UE d5aa: dlsch_rounds 143391/9138/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.06469 MCS (0) 21
UE d5aa: dlsch_rounds 145057/9232/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.05973 MCS (0) 21
UE d5aa: dlsch_rounds 146705/9340/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.06325 MCS (0) 21
UE d5aa: dlsch_rounds 148356/9440/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.06182 MCS (0) 21
UE d5aa: dlsch_rounds 150026/9532/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.05588 MCS (0) 21
UE d5aa: dlsch_rounds 151677/9621/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.05504 MCS (0) 21
UE d5aa: dlsch_rounds 152386/9664/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.09370 MCS (0) 22
UE d5aa: dlsch_rounds 152451/9672/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.10071 MCS (0) 21
UE d5aa: dlsch_rounds 152532/9673/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.03188 MCS (0) 15
UE d5aa: dlsch_rounds 152576/9673/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00810 MCS (0) 15
UE d5aa: dlsch_rounds 152629/9673/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00283 MCS (0) 10
UE d5aa: dlsch_rounds 152683/9673/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00072 MCS (0) 12
UE d5aa: dlsch_rounds 153187/9882/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.24796 MCS (0) 21
UE d5aa: dlsch_rounds 154932/9888/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.06618 MCS (0) 16
UE d5aa: dlsch_rounds 156492/10048/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.11199 MCS (0) 17
UE d5aa: dlsch_rounds 157974/10272/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.31046 MCS (0) 21
UE d5aa: dlsch_rounds 159386/10274/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.08089 MCS (0) 14
UE d5aa: dlsch_rounds 159431/10274/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.02056 MCS (0) 9
UE d5aa: dlsch_rounds 159497/10274/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00523 MCS (0) 14
UE d5aa: dlsch_rounds 159540/10274/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00133 MCS (0) 13
UE d5aa: dlsch_rounds 159585/10274/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00038 MCS (0) 13
UE d5aa: dlsch_rounds 159719/10274/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00010 MCS (0) 15
UE d5aa: dlsch_rounds 161373/10274/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00002 MCS (0) 15
UE d5aa: dlsch_rounds 162861/10274/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00001 MCS (0) 15
UE d5aa: dlsch_rounds 164159/10274/5/4, dlsch_errors 3, pucch0_DTX 10, BLER 0.00000 MCS (0) 15
